author.username	content	timestamp
_smeee	You can try to spin it all you want, but they did testnet operators dirty. Personally, I would likely be running eigenda on mainnet right now if they had not done this. After this, I won't ever touch this project again except to dump my airdrop from mainnet.	2024-05-11T17:25:22.367000+00:00
luz33c	No, I'm not frustrated! On the contrary, I'm frustrated for eigen. All the feedback is because we like this project. Great projects should make wise decisions instead of creating unreasonable ones. Our feedback is to hope that the project will be better.	2024-05-11T17:24:01.872000+00:00
cheetah33333	You don't have to run the testnet if you don't want to... why are you not running mainnet? I get that you are upset but they never promised you anything, they actually did the opposite.	2024-05-11T17:14:57.632000+00:00
cheetah33333	You weren't an actual operator though... to be an operator you needed to run EigenDA and you did not so you did not qualify... I would focus your efforts on staking on the mainnet if you are looking to make returns on your time and capital. I am not trying to be negative I am just being real.	2024-05-11T17:13:02.271000+00:00
luz33c	Why did HoleSky start? I did see that HoleSky has no incentives. But Goerli also said in 2023 that it is a non-incentivized test network, only for testing. I don't think I am not qualified, because both test networks are prepared for the main network, and HoleSky is the continuation of GoerLi. During the HoleSky stage, several versions were upgraded and functions were added. My question is that users who paid for rankings received rewards even though they knew that GoerLi was about to be abandoned. Users who have been following Eigenlayer upgrades have been ignored.	2024-05-11T17:12:55.548000+00:00
wale217	You have absolutely no point and no right to downplay anyone’s efforts	2024-05-11T17:03:12.484000+00:00
wale217	Every contribution counts	2024-05-11T17:02:29.158000+00:00
wale217	"Those operations required a lot of goerli eth, regardless , my effort definitely deserves to be rewarded. I engaged with the testnet but couldn’t meet up with the requirements to be in the top 200 avs.
This is not how to treat community members. Why should Sybils and meager eth restakers deserve a reward and not testnet operators??"	2024-05-11T17:01:27.035000+00:00
cheetah33333	You never ran the actual operations and deposited like 5 free goerli ETH. What's your point? Time to pack it up and focus on more productive things.	2024-05-11T16:56:26.469000+00:00
cheetah33333	Since you've confirmed that you didn't qualify for the Goerli testnet concession, I suggest focusing on something else since its obvious you did not qualify and they said so many times they are not giving any more incentives for testnets. This will help everyone use their time more effectively, including yours.	2024-05-11T16:53:51.760000+00:00
wale217	Here you go <@559852802554200072>  0xb4af81F327a0A7E898419eD83827F8E79C92eF35	2024-05-11T16:51:17.457000+00:00
hyuk	theres no reason to reward holesky cuz mainnet launched shortly after goerli depreciated lol	2024-05-11T16:50:58.095000+00:00
luz33c	But I have been maintaining Eigenda for more than a month. I have been following the two test networks. The official said that the test network is used for testing and has no incentives (including Goerli and Holesky. They should be treated equally and should not be based on the so-called inconvenience on the test network (everyone knows that Goerli will be closed in March). The test network should be for technical personnel to participate in decentralized node testing, not like the main network where real gold is used for gambling.	2024-05-11T16:48:57.309000+00:00
cheetah33333	This address never ran EigenDA on Goerli.	2024-05-11T16:31:27.685000+00:00
hyuk	Everyone that was in the top 200 received 500 afaik, then they gave some to ppl that delegated with a huge amount of geth	2024-05-11T16:21:53.356000+00:00
luz33c	I keep an eye on the update status of the test network and go ahead and update my nodes in a timely manner. Even now my node is still running, I'm well aware that it's not a continuous thread, as there are upgrades that rejoin eigenda	2024-05-11T16:16:31.325000+00:00
luz33c	0xA90cee5b1e80A31a0b9B1BE5A1Bb66B0EE2dBc00 my operator address ～   Goerli and holesky are both operators, and I actually run the EigenDa node.  I have submitted Tickets, no one has bothered me, and I have had to deal with communication from scammers posing as officials.	2024-05-11T16:15:57.017000+00:00
cheetah33333	Hey, can you drop your operator address and some real talk about what you've actually done on the testnet? Let's see the feedback you've given, how much gETH you staked, the delegations you hustled, and how you did with EigenDA signing. If you can't show us the goods, then you're just making noise. Time to back up those complaints with some proof or pack it in!	2024-05-11T16:05:51.275000+00:00
luz33c	"I hope the team changes the testnet reward strategy so that users are treated fairly. We participated in the whole upgrade of TestNet because we are also optimistic about the program and have some skills.

I don't have a problem if none of them are rewarded, but some should not be and some should not. This goes against the statement that there are no incentives on TestNet."	2024-05-11T16:00:36.912000+00:00
bkz	It’s the wallets I used to stake on my top 200 node	2024-05-11T15:43:40.909000+00:00
wale217	It’s weird how some wallets were rewarded and others weren’t	2024-05-11T15:42:57.842000+00:00
bkz	I got more on the restaker addresses	2024-05-11T15:39:20.021000+00:00
cheetah33333	You don't know what the price of EIGEN will be.... plus did you check your restaker addresses too? ... Perpetual markets often undervalue projects like EIGEN, which is considered top-tier. Holding your assets might be wise even after the unlock; just wait and see. It's fortunate you have any return at all, considering the testnets were explicitly not incentivized. Investing in them was a risk, as there was no promise of a reward—they were intended solely for gearing up for mainnet operations.	2024-05-11T15:36:16.707000+00:00
razyob	500 tokens will not recover even half of the lost funds	2024-05-11T15:27:28.086000+00:00
razyob	how much you spent for being in active set for a while?	2024-05-11T15:26:26.407000+00:00
bkz	you guys did the right thing	2024-05-11T15:21:14.887000+00:00
bkz	and for the delegators	2024-05-11T15:21:00.758000+00:00
bkz	I appreciate the rewards for the top 200	2024-05-11T15:20:03.206000+00:00
bkz	thanks eigen team for making it right	2024-05-11T15:19:13.220000+00:00
cheetah33333	Goerli (and now Holesky) was an explicitly non incentivized testnet to begin with you can see that in the original blog post: https://www.blog.eigenlayer.xyz/stage-1-testnet-announcement/	2024-05-11T15:10:30.477000+00:00
m0zgiii.ton	It will be a very ugly act on the part of the project developers if they do not reward the people who spent their resources installing operators in their project. Goerli and Holesky operators should be rewarded, as well as the rest of the people who interacted with the project during the period of the snapshots.	2024-05-11T14:47:58.012000+00:00
coinosophy	Shutting access to the testnet site was a bad move and whoever made the decision should be removed.	2024-05-11T13:54:34.308000+00:00
coinosophy	I hope their runway budget includes the expenses they will incur if a new solution is not brought forth.	2024-05-11T13:53:31.020000+00:00
coinosophy	They need to fix this or they are going to have issues. You can’t just deprecate your testnet site and make all assets inaccessible and then give someone a small portion of deposited funds….	2024-05-11T13:52:39.944000+00:00
coinosophy	I don’t know which is worse this or starknet	2024-05-11T13:51:09.221000+00:00
coinosophy	For 500 eigen	2024-05-11T13:50:48.292000+00:00
coinosophy	Around $60K spent	2024-05-11T13:50:30.685000+00:00
coinosophy	Very upset	2024-05-11T13:50:07.417000+00:00
coinosophy	I delegated gETH and my validator bounced between #1 and #3  in TVL and my operator got 400 + 100	2024-05-11T13:50:02.076000+00:00
wale217	A bunch of people just bought and staked a few eth on ether fi or puffer and got 110 tokens. But community that participated in testnet and ran a node got nothing. That can’t be right.	2024-05-11T13:14:55.089000+00:00
wale217	This is all just so disappointing, I hope the EIGEN team can look into this and reward their testnet node operators accordingly	2024-05-11T13:12:30.882000+00:00
wale217	I delegated ETH with mine and got nothing. There’s no pattern or criteria that was followed. Everything was just random and very unfair	2024-05-11T13:10:30.034000+00:00
defi_chopper	damn i got burned lol, i delegated ETH with my operator but i only got 500	2024-05-11T11:57:53.743000+00:00
hyuk	nop	2024-05-11T11:55:02.123000+00:00
defi_chopper	You operator didn't delegate any ETH?	2024-05-11T11:53:50.107000+00:00
hyuk	delegator	2024-05-11T11:42:48.791000+00:00
hyuk	operator	2024-05-11T11:42:38.940000+00:00
hyuk	i received more on those	2024-05-11T11:42:19.782000+00:00
hyuk	check the addresses that delegated huge amounts of eth	2024-05-11T11:42:14.509000+00:00
hyuk	not bad	2024-05-11T11:37:22.462000+00:00
hyuk	i got 1500 in total	2024-05-11T11:37:21.957000+00:00
defi_chopper	an operator that delegated to itself also only got 500, idk how it works	2024-05-11T11:36:50.393000+00:00
hyuk	operator gets 500, ppl that delegated get even more depending on eth amount	2024-05-11T11:21:36.386000+00:00
hyuk	oh now it makes sense	2024-05-11T11:21:15.751000+00:00
hyuk	wait how did some ppl get 1200 for their node without staking any assets and some operators got 500 lol	2024-05-11T11:18:57.069000+00:00
maciver_	<@875066441714520064> <@466815633347313664> - Just finished the claiming process. Thanks for everything the past few weeks, i know its been a hassle dealing with everything and answering the same question 1000 times. Pass on the appreciation to the team aswell. The vast majority of people who participated in testnet have seen there contributions rewarded - and will continue to participate in the eigenlayer ecosystem. Cheers.	2024-05-11T10:54:00.026000+00:00
money658	Yesss	2024-05-11T09:46:35.797000+00:00
sweetsensi	I think we should move all this conversation to <#1187153894564966480>. Maybe then they will answer our questions	2024-05-11T09:45:26.663000+00:00
.mormoon	At this moment, distributing 500 uniformly is unfair.	2024-05-11T09:13:46.508000+00:00
.mormoon	"I agree  "linear distribution accordingly to the signing rate" which is the fairest

Apart from this, snapshot by the Goerli #10664008 Blocks is very fair."	2024-05-11T09:11:10.982000+00:00
effenberggesture	"I agree that's unfair, but for another reason. Those, who joined in January, made more significant contribution than those, who joined in February. And those, who entered in November, should outplay them both.

This is why I rooted so much for linear distribution accordingly to the signing rate and shocked to see the stories like the screenshot above"	2024-05-11T09:02:02.080000+00:00
.mormoon	<@875066441714520064> <@466815633347313664>	2024-05-11T08:14:00.213000+00:00
.mormoon	I urge for compensation to be granted to the last Top 200 AVS operators(Goerli #10664008 Blocks)  during the Phase 2 airdrop.	2024-05-11T08:12:47.239000+00:00
.mormoon	"This seems unfair. Those who spent 300U in January receive the same reward of 500 $Eigen as those who spent 7000U in February. 
(Goerli Testnet)"	2024-05-11T08:09:55.313000+00:00
anotyagi	You says it's not random then what is this , user get allocation without doing nothing 😟😟	2024-05-11T06:32:17.398000+00:00
defi_chopper	"And for operators that were a staker/delegator with a large amount of stakes, the allocation for the operator was not respected as other wallets  that were purely stakers

This tells me the devs might've made a mistake in the code to handle the edge case where an address is an operator and a delegator, and the devs have hardcoded the max allocation to 500"	2024-05-11T06:23:44.497000+00:00
defi_chopper	"I would like to know how team finalized the number of max 500 EIGEN tokens for top 200 operators

For operators that were not a staker/delegator, the total server costs is ~$5k per the requirements + the hours of time spent to maintain the operator to keep it up-to-date

Now a testnet staker who stakes $10 across 5 walelts and do nothing else is getting the same allocation as a top 200 AVS operator?"	2024-05-11T06:18:58.244000+00:00
effenberggesture	"I can make a guess about how it works.

There are more than 280k stakers accordignly to the last week's update. That's enough to create a negative atmosphere around the project, which they proved in Twitter straight after the initial TGE announcement. This is why they deserve a solid addition of ~1.66% to their 15% allocation.

Meanwhile, accordingly to the data from this thread, there are just 453 validators, who signed at least 1 batch in the active set. They (or should I say we?) can't even reach an agreement here, so it's unlikely they will manage to capture community's attention with their complaints in media. This is why they deserve just ~0.013533322% allocation  (453 * 500 / 1 673 646 668 if all the mentioned data is correct). The allocation per operator doesn't even cover what we got rekt for as a result of Goerli shutdown.

All this story is a great example of how negative stimulus are created in crypto. If you have some tech skills and try to make a long term contribution into a project you like you don't even deserve your expenses to be covered. But if you simply split your ETH stake into many wallets and forget about the project until the airdrop announcement, you may get a pretty solid allocation just for spending some time on dispersing your funds.

Someone should tell about it to Mr. Bryan Pellegrino. It perfectly explains why people become sybils instead of trying to develop skills for more advanced kinds of contribution"	2024-05-11T06:07:33.534000+00:00
vipntube.	"hi , I am a eigenlayer node operator on goerli, holeski ( running from before 15th march snapshot ) and I should be recieveing allocation for it but as i checked , I haven't received allocation and other operators have already received it ( could you please check and update the data as it will be really unfair and not community friendly sir
https://goerli.eigenlayer.xyz/operator/0x5CB1aB7F854691716cdf342eeB9b42ab0c06b7BD
my goerli and holesky operator
https://app.eigenlayer.xyz/operator/0xD376471A8F588dA00CC930CcAba531BB9f43C98C  this is my mainnet operator . please help and resolve this <@875066441714520064> <@862550907349893151>"	2024-05-11T05:12:09.021000+00:00
defi_chopper	"<@875066441714520064> <@862550907349893151> would you be able to relay this message to the team please?

It looks like allocations are favoured more towards to the stakers, but a lot of the operators are also stakers and they weren't rewarded appropriately, there seems to be a 500 $EIGEN hard cap for every operator address?"	2024-05-11T05:10:46.031000+00:00
vipntube.	but still no allocation isn't justified as i can see their were around 6K operators total and a pool of 0.5% (8.2 million) tokens for it	2024-05-11T05:08:00.227000+00:00
vipntube.	man, that's a lot	2024-05-11T05:07:10.675000+00:00
defi_chopper	a lot of us here put $10k-$20k into the operator	2024-05-11T05:06:58.110000+00:00
vipntube.	i know but that was a testnet , isn't it	2024-05-11T05:06:49.260000+00:00
defi_chopper	you realized 70 goerliETH is worth ~$10 right?	2024-05-11T05:06:30.937000+00:00
vipntube.	and now also running mainnet too	2024-05-11T05:06:06.150000+00:00
vipntube.	i don't know, i had around 70 eth + staked in gerli and was successfully running before snapshot date and later migrated to holesky	2024-05-11T05:05:55.091000+00:00
defi_chopper	were you top 200?	2024-05-11T05:05:00.984000+00:00
vipntube.	when u started your goerli node	2024-05-11T05:04:33.366000+00:00
vipntube.	bro u at least received something, here i haven't received anything	2024-05-11T05:04:05.703000+00:00
defi_chopper	I see some goerli stakers got a large number of $EIGEN, but my top 200 operator is also a staker and I only got 500 $EIGEN? Can team explain how the allocation works?	2024-05-11T04:51:34.258000+00:00
vipntube.	"hi , I am a eigenlayer node operator on goerli, holeski ( running from before 15th march snapshot ) and I should be recieveing allocation for it but as i checked , I haven't received allocation and other operators have already received it ( could you please check and update the data as it will be really unfair and not community friendly sir
https://goerli.eigenlayer.xyz/operator/0x5CB1aB7F854691716cdf342eeB9b42ab0c06b7BD
my goerli and holesky operator
https://app.eigenlayer.xyz/operator/0xD376471A8F588dA00CC930CcAba531BB9f43C98C  this is my mainnet operator . please help and resolve this"	2024-05-11T04:33:26.687000+00:00
luz33c	Since it was developed for them to help test, I think Eigen hopes that Eigenda will conduct decentralized testing, otherwise the official can run Eigenda itself. You give some rewards to my supporters, and the supporters continue to run the operator. This is a positive cycle. It is incorrect to give rewards to users who have suffered heavy losses based on the closure of the test network.	2024-05-11T04:00:00.830000+00:00
money658	I don't think we can get something	2024-05-11T03:47:02.707000+00:00
codegp	Although I am the operator of goerli and holesky, there is nothing.	2024-05-11T03:28:45.311000+00:00
money658	Did you get something	2024-05-11T03:26:42.907000+00:00
codegp	that's too bad.	2024-05-11T03:26:15.749000+00:00
money658	Please Hear us Eigenlayer	2024-05-11T03:26:15.529000+00:00
money658	If anyone feels busted that is the Operators	2024-05-11T03:22:48.415000+00:00
money658	its nothing to be done now , deeply dissatisfied and just got a bigger 0 for my efforts and contribution ....  wow	2024-05-11T03:19:38.905000+00:00
.xkamx	Thanks brother. It's shameful what they're doing here, but honestly not surprising. I naively thought they might do the right thing. Played like a fool.	2024-05-11T03:16:48.676000+00:00
money658	Some operators got 500 eigen	2024-05-11T03:12:00.840000+00:00
luz33c	"The official website said two days ago that it gives testnet rewards, so look forward to it.
Now it says that other test nets are used for testing (who doesn't know that test nets are used for testing?), and goerli operator doesn't give rewards again, it's amazing."	2024-05-11T03:10:04.174000+00:00
money658	Where to complain....??	2024-05-11T03:09:56.380000+00:00
money658	Yes	2024-05-11T03:07:34.019000+00:00
luz33c	"I am goerli operators but I don't have any token rewards.

holesky as well as 2023 testnet users, I think the ones that have node running should be rewarded. Testnet is of course used for testing. Just test net with test coin pledge can of course not be rewarded, but running nodes no matter what test net should be given some rewards."	2024-05-11T03:06:56.923000+00:00
money658	We just want our contributor reward 😊	2024-05-11T03:02:38.878000+00:00
money658	"But you give some operators rewards,

What they have done which we not done for the rewards,

That's the question only nothing else,"	2024-05-11T02:48:30.507000+00:00
luke_g3	Please check all the delegator addresses and operator addresses you used on the testnet. Please also note the testnet was for testing purposes and no incentives were announced and moving forward the Holesky testnet is not incentivised as such either.	2024-05-11T02:46:28.741000+00:00
money658	"# EIGENLAYER,

PLEASE  HEAR  FROM US.

AND GIVE SOME ALLOCATION TO US ALSO WE ALSO WANT TO TAKE PART IN TGE.

PLEASE"	2024-05-11T02:33:56.793000+00:00
money658	Nothing bro Nothing deeply dissappointed	2024-05-11T02:30:27.889000+00:00
kenz3964	I see. too many msg.. I was thinking at least you can get  some	2024-05-11T02:29:47.214000+00:00
money658	# A big zero	2024-05-11T02:28:05.679000+00:00
money658	We # have spend dollars for this and got 0	2024-05-11T02:27:40.256000+00:00
money658	Nothing please read full	2024-05-11T02:24:18.188000+00:00
kenz3964	Bro how many $EIGEN you got for node operator ?	2024-05-11T02:23:59.768000+00:00
money658	5m / 10 bill supply	2024-05-11T02:23:48.805000+00:00
money658	"We want only 0.05% its not much

1/2000 part of supply only"	2024-05-11T02:23:28.420000+00:00
money658	<@875066441714520064>  is there nothing we can do now....????	2024-05-11T02:21:45.317000+00:00
money658	Reality is that they don't care about contributors 😌	2024-05-11T02:19:40.428000+00:00
money658	# - pls all say the same	2024-05-11T02:18:00.005000+00:00
money658	# we want 0.05% only, we are core contributors	2024-05-11T02:17:18.471000+00:00
money658	- It's just 0.05% we want	2024-05-11T02:14:22.267000+00:00
money658	If its 0.05% means only 5m eigen will also do the job for operators than why it's not	2024-05-11T02:13:23.425000+00:00
money658	What a Project super greed	2024-05-11T02:12:10.555000+00:00
money658	Yes it's just need 0.1 % that is the case	2024-05-11T02:11:55.674000+00:00
money658	"Before - Eigenlayer had recorded your contributions...

Reality -  You are ineligible

I mean WoW 😌"	2024-05-11T02:01:32.365000+00:00
money658	Eigen Just messed up 😌😌	2024-05-11T01:57:41.108000+00:00
money658	"But It's just loosing your Hardcore contributors...

Be Happy Eigenlayer, Hope For Better Future 😌"	2024-05-11T01:55:28.484000+00:00
money658	"Eigenlayer You really just messed up all with your contributors which contribute you in a very critical stage of Project , This is really not fair for all of us guys...

There is nothing big issue if they give some reward to all operators as there is not many operators only 6-7000 operators were there,

Reality is that. - - - There is no criteria,
If they want they give... 😌😌"	2024-05-11T01:54:14.253000+00:00
money658	You got something than nothing like us Be proud	2024-05-11T01:50:15.038000+00:00
bholu.eth	they had one job and they decided to reward potential sybils who barely spent time/effort on upkeep and screwed over (again) the top 200. smh absolute incompetence	2024-05-11T01:39:30.480000+00:00
frog.eth	500 eigen is a joke. Top 200 operators burned 20k+ how is this fair that even non top 200 operatora get the same allo?	2024-05-11T01:23:43.552000+00:00
codegp	I am also an operator, but I have nothing.	2024-05-11T01:20:23.007000+00:00
codegp	<@875066441714520064>	2024-05-11T01:11:12.593000+00:00
codegp		2024-05-11T01:10:50.520000+00:00
codegp	Hi, are there no rewards for holesky operators?	2024-05-11T01:05:24.657000+00:00
bholu.eth	Well put, hope you're reading this <@768866007821320232>. Nice cook	2024-05-11T01:04:50.940000+00:00
